('Hungary', 'USSR'),('Canada', 'Switzerland'),-0.343181818182
('Tunisia', 'France'),('Viet Nam', 'USSR'),0.211621621622
('France', 'UK'),('Greece', 'France'),-0.0997142857143
('Egypt', 'UK'),('Finland', 'France'),-0.2536
('Poland', 'USSR'),('South Korea', 'Germany (FRG)'),-0.346451612903
('Libya', 'USSR'),('Norway', 'France'),-0.256923076923
('Greece', 'Netherlands'),('China', 'France'),0.29724137931
('Norway', 'Sweden'),('Indonesia', 'UK'),0.257407407407
('Syria', 'Czechoslovakia'),('Nigeria', 'UK'),0.274230769231
('South Korea', 'Germany (FRG)'),('UAE', 'France'),0.2525
('China', 'Germany (FRG)'),('Nigeria', 'Italy'),0.226818181818
('Nigeria', 'Italy'),('Peru', 'UK'),-0.1
('North Korea', 'USSR'),('South Korea', 'Germany (FRG)'),-0.346451612903
('Kuwait', 'France'),('Egypt', 'USSR'),-0.116086956522
('Mongolia', 'USSR'),('Argentina', 'France'),0.258
('Egypt', 'UK'),('Algeria', 'USSR'),0.237586206897
('Israel', 'UK'),('Portugal', 'France'),0.303
('Iran', 'Russia'),('Iraq', 'UK'),-0.214
('China', 'Russia'),('Algeria', 'USSR'),-0.291379310345
('Spain', 'UK'),('France', 'UK'),-0.13027027027
('India', 'Germany (FRG)'),('USSR', 'Poland'),-0.11
('Kenya', 'UK'),('Algeria', 'USSR'),0.295172413793
('Greece', 'Italy'),('Netherlands', 'Italy'),0.202
('Turkey', 'France'),('Bulgaria', 'USSR'),-0.1
('Syria', 'Czechoslovakia'),('China', 'Russia'),-0.3205
('Egypt', 'USSR'),('Egypt', 'France'),-0.11347826087
('Japan', 'France'),('Hungary', 'USSR'),-0.143333333333
('New Zealand', 'UK'),('China', 'Germany (FRG)'),-0.106304347826
('Turkey', 'France'),('Mongolia', 'USSR'),-0.126470588235
('Iraq', 'USSR'),('Jordan', 'UK'),0.207777777778
('USA', 'UK'),('Finland', 'France'),-0.1844
('Pakistan', 'France'),('Qatar', 'France'),0.2088
('Bulgaria', 'USSR'),('Finland', 'France'),-0.2664
('Qatar', 'France'),('Egypt', 'France'),0.298260869565
('Switzerland', 'UK'),('Denmark', 'Germany (FRG)'),-0.124615384615
('Egypt', 'USSR'),('Romania', 'Czechoslovakia'),0.430416666667
('Nigeria', 'UK'),('Portugal', 'UK'),-0.143333333333
('Netherlands', 'Germany (FRG)'),('South Korea', 'France'),0.214666666667
('Syria', 'USSR'),('UAE', 'Germany (FRG)'),-0.271481481481
('Japan', 'Italy'),('India', 'Italy'),0.3412
('USSR', 'Poland'),('Viet Nam', 'USSR'),0.335405405405
('Iraq', 'USSR'),('China', 'France'),-0.293793103448
('Spain', 'Germany (FRG)'),('Gabon', 'France'),-0.2565
('Japan', 'France'),('Pakistan', 'Sweden'),0.247894736842
('Pakistan', 'Germany (FRG)'),('Norway', 'Germany (FRG)'),0.1968
('Viet Nam', 'USSR'),('Italy', 'France'),-0.105405405405
('Peru', 'France'),('Algeria', 'USSR'),0.251034482759
('Norway', 'Sweden'),('Nigeria', 'Italy'),0.352272727273
('UAE', 'Germany (FRG)'),('Turkey', 'UK'),0.271724137931
('South Korea', 'Germany (FRG)'),('Syria', 'USSR'),-0.16
('Finland', 'USSR'),('Syria', 'USSR'),0.330277777778
('Kuwait', 'France'),('Iraq', 'France'),0.2648
('UK', 'Italy'),('Ghana', 'UK'),0.245
('Pakistan', 'Sweden'),('USA', 'Italy'),0.367586206897
('Afghanistan', 'USSR'),('India', 'Germany (FRG)'),-0.236774193548
('UAE', 'France'),('Spain', 'Germany (FRG)'),0.209142857143
('UAE', 'Germany (FRG)'),('Turkey', 'Norway'),-0.178695652174
('Turkey', 'France'),('Norway', 'Sweden'),0.219259259259
('South Korea', 'Germany (FRG)'),('South Africa', 'UK'),-0.229210526316
('Egypt', 'USSR'),('Brazil', 'Italy'),-0.186764705882
('Turkey', 'Netherlands'),('USA', 'Italy'),0.331034482759
('Chile', 'France'),('Hungary', 'USSR'),-0.112142857143
('Thailand', 'UK'),('UAE', 'Italy'),0.224347826087
('Japan', 'Germany (FRG)'),('Iraq', 'France'),0.22
('Finland', 'France'),('Austria', 'France'),0.234761904762
('South Africa', 'UK'),('USA', 'Italy'),-0.324827586207
('Nigeria', 'UK'),('Netherlands', 'Italy'),0.2475
('Netherlands', 'Germany (FRG)'),('Iraq', 'France'),0.2672
('Yugoslavia', 'UK'),('India', 'Italy'),-0.1292
('Portugal', 'Germany (FRG)'),('Algeria', 'USSR'),0.269655172414
